cfg_name,model,exptype,diffinit,t,use_loss,attack_seed,other_seed,attack_index,accuracy_self,epsilon_self,accuracy_other,epsilon_other
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,97560,72745,12261,0.6584,0.6561721874484452,0.6664,0.6919474203680412
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,99300,43068,12261,0.6768,0.739104481645073,0.6812,0.7592920018724734
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,97560,77060,5437,0.6688,0.7027626392593871,0.668,0.6991532046201573
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,99300,49036,5437,0.6626,0.6749023197539274,0.6622,0.6731136207394463
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,83745,52358,12261,0.6568,0.6490661905244114,0.65,0.6190392084062236
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,55462,11506,12261,0.6318,0.5399466195690075,0.6246,0.50911932069657
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,83745,10051,5437,0.6496,0.6172814297852316,0.6464,0.6032521764433971
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,55462,72085,5437,0.6628,0.6757970594247072,0.6602,0.6641856101812611
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,46807,38705,12261,0.6626,0.6749023197539274,0.663,0.6766920598335009
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,91611,76767,12261,0.653,0.632252349329572,0.6478,0.6093828106751233
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,46807,15319,5437,0.6586,0.6570615595819236,0.6594,0.6606215624090427
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,91611,15795,5437,0.6528,0.6313698208637023,0.6446,0.5953860536607863
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,77060,53741,12261,0.6616,0.6704325159774132,0.6612,0.6686464031689698
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28648,28317,12261,0.671,0.71271138620631,0.671,0.71271138620631
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,77060,43634,5437,0.6582,0.6552830658277491,0.6572,0.6508411994394884
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28648,19556,5437,0.6614,0.6695393308486575,0.6642,0.6820675642992058
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,19727,78662,12261,0.6578,0.6535055722968637,0.6598,0.6624030788327199
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,46642,68927,12261,0.674,0.7263327295455997,0.6732,0.7226940993308032
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,19727,5779,5437,0.6514,0.6251987597562125,0.65,0.6190392084062236
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,46642,61701,5437,0.663,0.6766920598335009,0.663,0.6766920598335009
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,3207,46674,12261,0.633,0.5451085740896059,0.6254,0.5125326550137526
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,15319,79427,12261,0.649,0.6146464932382243,0.6454,0.5988798859777538
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,3207,52747,5437,0.6326,0.5433871380905234,0.6198,0.4886994152993191
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,15319,50627,5437,0.6594,0.6606215624090427,0.662,0.6722196604539895
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,55974,61803,12261,0.6752,0.7317993349942247,0.664,0.6811709895132297
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28406,45569,12261,0.6566,0.648179056604117,0.6542,0.6375525418550935
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,55974,1638,5437,0.6592,0.6597311836401014,0.661,0.6677537324712361
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28406,11025,5437,0.6754,0.7327114528709766,0.6768,0.739104481645073
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,79993,31497,12261,0.6536,0.6349013668575129,0.6466,0.6041273054057364
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,89680,9301,12261,0.6466,0.6041273054057364,0.6466,0.6041273054057364
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,79993,34975,5437,0.6684,0.7009573734600988,0.6744,0.7281537725592606
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,89680,11025,5437,0.6534,0.634018121885464,0.6562,0.6464055275782523
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,85626,30546,12261,0.6604,0.6650772576087806,0.65,0.6190392084062236
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,59063,17485,12261,0.6608,0.6668613182890205,0.6594,0.6606215624090427
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,85626,21303,5437,0.6518,0.6269607390693728,0.6418,0.5831852390491452
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,59063,3228,5437,0.6662,0.6910479145318447,0.6666,0.6928471955569455
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,16593,78871,12261,0.6636,0.6793786302174963,0.667,0.69464755593518
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,75200,39588,12261,0.6592,0.6597311836401014,0.6576,0.652617199474383
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,16593,19679,5437,0.6768,0.739104481645073,0.6764,0.7372764318400887
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,75200,47934,5437,0.643,0.5884089424579804,0.6434,0.5901519093758859
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,50946,29900,12261,0.6742,0.7272431066320156,0.665,0.6856565088307879
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,75934,84435,12261,0.638,0.5666940715190188,0.6414,0.5814457260880218
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,50946,84435,5437,0.6706,0.710900016288588,0.667,0.69464755593518
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,75934,5521,5437,0.6644,0.6829644031460886,0.6654,0.6874525750316527
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,74467,38142,12261,0.6686,0.7018598689935356,0.6684,0.7009573734600988
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,77375,19556,12261,0.6676,0.6973501288063867,0.6718,0.7163374985222017
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,74467,1638,5437,0.6658,0.689249708979631,0.664,0.6811709895132297
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,77375,2213,5437,0.6566,0.648179056604117,0.6576,0.652617199474383
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,75200,10051,12261,0.6592,0.6597311836401014,0.6582,0.6552830658277491
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,80051,57864,12261,0.6518,0.6269607390693728,0.65,0.6190392084062236
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,75200,71441,5437,0.643,0.5884089424579804,0.63,0.5322168137473082
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,80051,15984,5437,0.66,0.6632942174102643,0.6548,0.6402058862877071
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,59329,82666,12261,0.6602,0.6641856101812611,0.6616,0.6704325159774132
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,76729,67594,12261,0.664,0.6811709895132297,0.6642,0.6820675642992058
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,59329,12306,5437,0.6342,0.5502776261474815,0.6354,0.555453859590853
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,76729,75934,5437,0.6812,0.7592920018724734,0.6824,0.7648232668044888
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,9694,71798,12261,0.6608,0.6668613182890205,0.6634,0.6784828447562464
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,90981,34782,12261,0.6694,0.7054726033903025,0.6724,0.7190600495555461
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,9694,85918,5437,0.6536,0.6349013668575129,0.6524,0.6296054773556218
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,90981,19481,5437,0.6444,0.5945131476630697,0.6312,0.5373682778492256
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,76450,26346,12261,0.6502,0.6199184452853033,0.6438,0.5918957480091467
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,84713,73319,12261,0.673,0.7217851587474746,0.6754,0.7327114528709766
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,76450,1526,5437,0.6542,0.6375525418550935,0.6514,0.6251987597562125
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,84713,32305,5437,0.6624,0.6740078403492478,0.6696,0.7063764775284423
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,86542,28082,12261,0.6478,0.6093828106751233,0.6476,0.6085063277414554
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,61751,72296,12261,0.6834,0.7694411922342798,0.6846,0.7749930515671468
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,86542,45569,5437,0.6636,0.6793786302174963,0.6594,0.6606215624090427
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,61751,86225,5437,0.668,0.6991532046201573,0.6704,0.7099947511325565
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,1693,69878,12261,0.6676,0.6973501288063867,0.66,0.6632942174102643
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,60393,37553,12261,0.6704,0.7099947511325565,0.6704,0.7099947511325565
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,1693,96079,5437,0.6464,0.6032521764433971,0.661,0.6677537324712361
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,60393,47934,5437,0.6632,0.6775873214529137,0.6682,0.7000551521663122
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28853,56886,12261,0.675,0.7308875085427926,0.6768,0.739104481645073
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,9930,70518,12261,0.662,0.6722196604539895,0.6588,0.6579511826859614
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,28853,1638,5437,0.6434,0.5901519093758859,0.6352,0.5545906517327496
cifar10_cnn,cnn_cifar,vsvi,True,8000,True,9930,57545,5437,0.6534,0.634018121885464,0.6504,0.6207979144522204
cifar10_cnn,cnn_cifar,fsvi,True,8000,True,43634,50627,12261,0.6694,0.7054726033903025,0.6656,0.6883510082964521
