cfg_name,model,exptype,diffinit,t,attack_seed,other_seed,attack_index,accuracy_self,epsilon_self,accuracy_other,epsilon_other
cifar10_cnn,cnn_cifar,fsvi,True,4000,51197,71886,12261,0.59035,0.3654124447652953,0.58855,0.35797437880676786
cifar10_cnn,cnn_cifar,vsvi,True,4000,51197,18060,12261,0.59035,0.3654124447652953,0.58885,0.359213370870653
cifar10_cnn,cnn_cifar,fsvi,True,4000,51197,2637,5437,0.58435,0.340656558402069,0.5836,0.3375694799078168
cifar10_cnn,cnn_cifar,vsvi,True,4000,51197,40448,5437,0.58435,0.340656558402069,0.58135,0.3283177364641765
cifar10_cnn,cnn_cifar,fsvi,True,4000,84435,94951,12261,0.60695,0.4345095851040471,0.60995,0.44710205056042446
cifar10_cnn,cnn_cifar,vsvi,True,4000,84435,93072,12261,0.60695,0.4345095851040471,0.6109,0.4510968996652134
cifar10_cnn,cnn_cifar,fsvi,True,4000,84435,68544,5437,0.60935,0.4445807968267579,0.61285,0.4593079929544416
cifar10_cnn,cnn_cifar,vsvi,True,4000,84435,72296,5437,0.60935,0.4445807968267579,0.61285,0.4593079929544416
cifar10_cnn,cnn_cifar,fsvi,True,4000,77255,89680,12261,0.57975,0.3217472038469161,0.5755,0.3043272224105354
cifar10_cnn,cnn_cifar,vsvi,True,4000,77255,9940,12261,0.57975,0.3217472038469161,0.5807,0.3256476182012871
cifar10_cnn,cnn_cifar,fsvi,True,4000,77255,11815,5437,0.581,0.32687983692977335,0.58115,0.3274960384898988
cifar10_cnn,cnn_cifar,vsvi,True,4000,77255,34726,5437,0.581,0.32687983692977335,0.58135,0.3283177364641765
cifar10_cnn,cnn_cifar,fsvi,True,4000,33916,90981,12261,0.5902,0.3647922267040394,0.5806,0.32523693312271
cifar10_cnn,cnn_cifar,vsvi,True,4000,33916,21872,12261,0.5902,0.3647922267040394,0.58965,0.3625186864602583
cifar10_cnn,cnn_cifar,fsvi,True,4000,33916,9731,5437,0.5975,0.39505918694704784,0.59395,0.38031883600712857
cifar10_cnn,cnn_cifar,vsvi,True,4000,33916,4587,5437,0.5975,0.39505918694704784,0.57745,0.3123140755706052
