cfg_name,model,exptype,diffinit,t,setting,th_seed,th_ri,attack_acc_with_same_ri,epsilon_with_same_ri,attack_seed,attack_ri,attack_acc_with_diff_ri,epsilon_with_diff_ri
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,32358,12261,0.5297,0.11894001959947859,32358,5437,0.52705,0.1083057460420188
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,46807,12261,0.53125,0.125163142954006,46807,5437,0.5289,0.11572899236593902
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,71886,5437,0.53495,0.14002835789613974,68927,12261,0.5275,0.11011111841642401
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,1842,5437,0.5361,0.1446516990757942,96385,12261,0.5351,0.14063131662071995
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,10860,12261,0.54045,0.16215437605809346,10860,5437,0.5384,0.1539030631366282
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,68927,5437,0.5287,0.11492632931171919,68927,12261,0.5259,0.10369281068722609
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,35423,12261,0.5392,0.15712245021641574,35423,5437,0.53195,0.12797437214462146
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,94698,12261,0.53485,0.13962639953757233,50627,5437,0.5367,0.14706448676018033
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,72634,12261,0.52675,0.10710226259486635,32358,5437,0.5219,0.08765608301731004
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,70518,5437,0.5405,0.16235569528352117,70518,12261,0.53305,0.1323930428407573
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,64007,5437,0.53555,0.14244034637710878,64007,12261,0.534,0.13621020483454901
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,55289,12261,0.52415,0.09667522438022937,55289,5437,0.5264,0.10569829644131144
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,35296,5437,0.5405,0.16235569528352117,32985,12261,0.53685,0.14766775018010822
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,2674,12261,0.5275,0.11011111841642401,92583,5437,0.52875,0.11512699159826739
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,33916,5437,0.5343,0.13741582897539406,33916,12261,0.5295,0.11813720601602666
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,27476,12261,0.5232,0.09286668439184886,27476,5437,0.5347,0.13902348310408283
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,43634,5437,0.5345,0.13821963374797802,43634,12261,0.534,0.13621020483454901
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,42393,12261,0.54035,0.16175174743941087,31497,5437,0.53445,0.13801867838541584
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,67594,12261,0.53015,0.1207464905427333,25682,5437,0.53245,0.12998270157993688
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,2506,5437,0.5318,0.12737192375210918,2506,12261,0.52875,0.11512699159826739
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,38705,12261,0.53345,0.1340001499574392,38705,5437,0.5337,0.1350046795256238
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,5524,5437,0.52465,0.09867999879888038,5524,12261,0.52625,0.10509662859995508
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,4385,12261,0.53755,0.15048333593096797,63665,5437,0.53125,0.125163142954006
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,50072,12261,0.5356,0.14264136399328095,78662,5437,0.52735,0.10950930785122995
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,25708,12261,0.53475,0.13922445244015474,25708,5437,0.5421,0.16879966660324283
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,39283,5437,0.5247,0.09888048707270246,39283,12261,0.5233,0.09326755116738211
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,5689,5437,0.5296,0.11853860803838112,21303,12261,0.53485,0.13962639953757233
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,59530,5437,0.5313,0.125363928528237,59530,12261,0.5387,0.15511023912271302
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,59063,5437,0.53175,0.1271711127561484,18283,12261,0.52705,0.1083057460420188
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,36531,12261,0.53225,0.1291793386193899,36531,5437,0.5283,0.11332111388005418
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,31259,5437,0.53965,0.15893371153750036,31259,12261,0.5385,0.15430544265353638
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,67424,12261,0.5297,0.11894001959947859,52022,5437,0.53095,0.12395848227789469
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,21322,5437,0.519,0.07603661306012756,21322,12261,0.52745,0.10991051268675249
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,9446,12261,0.53515,0.1408323085285177,85918,5437,0.533,0.13219216649694737
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,96079,5437,0.53115,0.12476157936038838,96079,12261,0.5258,0.10329173866447584
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,62812,12261,0.5264,0.10569829644131144,62812,5437,0.5183,0.07323271155948562
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,72634,5437,0.5251,0.1004844650887375,28317,12261,0.5336,0.1346028595651312
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,24846,12261,0.528,0.11211729812070621,24846,5437,0.52135,0.08545195984323994
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,58881,12261,0.5295,0.11813720601602666,2506,5437,0.53255,0.13038439875184998
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,93296,12261,0.5283,0.11332111388005418,93296,5437,0.5379,0.15189135140297633
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,57545,5437,0.53445,0.13801867838541584,57545,12261,0.5416,0.16678555619753527
cifar10_cnn,cnn_cifar,vsfi,False,2000,noiseless,55289,12261,0.53365,0.13480376818710138,59063,5437,0.5334,0.13379925216058425
cifar10_cnn,cnn_cifar,vsvi,True,2000,noiseless,54584,12261,0.5263,0.10529718243002721,82666,5437,0.53375,0.13520559358480871
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,55462,5437,0.5289,0.11572899236593902,55462,12261,0.5273,0.10930870873723347
cifar10_cnn,cnn_cifar,fsfi,False,2000,noiseless,17191,5437,0.53765,0.15088561081288746,17191,12261,0.5411,0.16477178324790184
cifar10_cnn,cnn_cifar,fsvi,True,2000,noiseless,39978,5437,0.53175,0.1271711127561484,39978,12261,0.53715,0.14887435759933124
